Feature,Coefficient,Absolute_Coefficient
Date_2017-01-21,8.854525088338233e-08,8.854525088338233e-08
Date_2019-11-23,-8.852003265412863e-08,8.852003265412863e-08
Date_2022-11-21,8.845766031723837e-08,8.845766031723837e-08
Date_2013-06-11,-8.84097006251212e-08,8.84097006251212e-08
Date_2022-01-31,-8.837826467427121e-08,8.837826467427121e-08
Date_2012-11-16,-8.831482194560362e-08,8.831482194560362e-08
Date_2013-02-09,-8.830590113821207e-08,8.830590113821207e-08
Date_2016-05-13,-8.830150040031098e-08,8.830150040031098e-08
Date_2022-10-25,-8.829677080618077e-08,8.829677080618077e-08
Date_2017-10-12,8.822284394881734e-08,8.822284394881734e-08
Date_2018-04-30,8.816540318804338e-08,8.816540318804338e-08
Date_2020-02-25,8.816327743132144e-08,8.816327743132144e-08
Date_2012-07-29,8.807288688815824e-08,8.807288688815824e-08
Date_2022-12-19,8.801237149627899e-08,8.801237149627899e-08
Date_2021-02-07,8.788597755822808e-08,8.788597755822808e-08
Date_2020-08-21,-8.787674471899654e-08,8.787674471899654e-08
Date_2016-09-05,8.771294714250403e-08,8.771294714250403e-08
Date_2012-01-10,8.755240009879092e-08,8.755240009879092e-08
Date_2018-05-08,-8.754615542887226e-08,8.754615542887226e-08
Date_2014-03-03,-8.752824497957653e-08,8.752824497957653e-08
Date_2021-08-11,8.75264042246413e-08,8.75264042246413e-08
Date_2014-02-28,-8.751986808510572e-08,8.751986808510572e-08
Date_2013-04-20,8.739901860897246e-08,8.739901860897246e-08
Date_2020-07-28,-8.739782605782033e-08,8.739782605782033e-08
Date_2010-09-07,8.731603442305855e-08,8.731603442305855e-08
Date_2012-08-05,8.725196288795304e-08,8.725196288795304e-08
Date_2016-01-09,-8.724360028746222e-08,8.724360028746222e-08
Date_2018-11-02,-8.711716135942626e-08,8.711716135942626e-08
Date_2021-03-18,-8.70190784846277e-08,8.70190784846277e-08
Date_2021-10-09,8.699757552531879e-08,8.699757552531879e-08
Date_2012-10-27,8.69579659154575e-08,8.69579659154575e-08
Date_2010-10-01,8.688540767370904e-08,8.688540767370904e-08
Date_2012-08-06,8.684253828884466e-08,8.684253828884466e-08
Date_2014-05-16,8.674262190116932e-08,8.674262190116932e-08
Date_2012-09-22,8.662253041237795e-08,8.662253041237795e-08
Date_2011-11-25,-8.652573401771079e-08,8.652573401771079e-08
Date_2019-12-08,8.647730403522857e-08,8.647730403522857e-08
Date_2018-12-08,-8.645346602456407e-08,8.645346602456407e-08
Date_2010-09-28,-8.643469767953073e-08,8.643469767953073e-08
Date_2023-01-04,8.642467909142955e-08,8.642467909142955e-08
Date_2020-10-03,-8.641920128714515e-08,8.641920128714515e-08
Date_2021-03-25,8.626477567234494e-08,8.626477567234494e-08
Date_2017-04-22,-8.619731285095564e-08,8.619731285095564e-08
Date_2013-01-15,8.614502353833565e-08,8.614502353833565e-08
Date_2016-05-11,8.612022482530716e-08,8.612022482530716e-08
Date_2011-04-27,8.603860951348682e-08,8.603860951348682e-08
Date_2012-04-23,-8.600907232498019e-08,8.600907232498019e-08
Date_2016-04-10,-8.598437154569045e-08,8.598437154569045e-08
Date_2018-04-13,-8.597444631736805e-08,8.597444631736805e-08
Date_2022-07-05,-8.596638717075275e-08,8.596638717075275e-08
Date_2020-03-25,-8.595420315809923e-08,8.595420315809923e-08
Date_2011-06-17,-8.591512684007748e-08,8.591512684007748e-08
Date_2013-12-22,8.587683621473667e-08,8.587683621473667e-08
Date_2021-07-13,8.578886494031218e-08,8.578886494031218e-08
Date_2019-03-27,8.571901545921827e-08,8.571901545921827e-08
Date_2010-11-15,8.567410670244215e-08,8.567410670244215e-08
Date_2013-05-11,8.564755226033882e-08,8.564755226033882e-08
Date_2015-09-29,-8.561230142111331e-08,8.561230142111331e-08
Date_2013-11-22,-8.560005697447468e-08,8.560005697447468e-08
Date_2014-03-09,-8.555618843387724e-08,8.555618843387724e-08
Date_2017-04-21,8.552008402920556e-08,8.552008402920556e-08
Date_2019-06-25,8.55132834249608e-08,8.55132834249608e-08
Date_2022-08-04,8.542702905283073e-08,8.542702905283073e-08
Date_2018-06-17,-8.538025333785796e-08,8.538025333785796e-08
Date_2019-09-07,8.536118833491257e-08,8.536118833491257e-08
Date_2012-10-11,-8.530078949176138e-08,8.530078949176138e-08
Date_2013-11-02,-8.529755065877706e-08,8.529755065877706e-08
Date_2021-09-14,-8.529505307058186e-08,8.529505307058186e-08
Date_2020-03-24,-8.529214507363987e-08,8.529214507363987e-08
Date_2019-03-06,8.526033683544739e-08,8.526033683544739e-08
Date_2017-05-14,8.523448050565953e-08,8.523448050565953e-08
Date_2016-08-03,8.521177628185268e-08,8.521177628185268e-08
Date_2011-07-28,-8.513120781841612e-08,8.513120781841612e-08
Date_2019-12-27,8.512662161977638e-08,8.512662161977638e-08
Date_2021-04-08,-8.507949039040261e-08,8.507949039040261e-08
Date_2017-06-16,8.486710512615113e-08,8.486710512615113e-08
Date_2011-12-03,-8.47839476010462e-08,8.47839476010462e-08
Date_2016-07-05,-8.47604498753946e-08,8.47604498753946e-08
Date_2012-08-26,-8.472204010061782e-08,8.472204010061782e-08
Date_2021-09-08,8.469403438226378e-08,8.469403438226378e-08
Date_2016-04-04,8.463725722738474e-08,8.463725722738474e-08
Date_2017-02-27,8.462362932865532e-08,8.462362932865532e-08
Date_2017-01-07,-8.445092820727736e-08,8.445092820727736e-08
Date_2014-03-25,8.44504079791705e-08,8.44504079791705e-08
Date_2019-05-04,-8.44408785143328e-08,8.44408785143328e-08
Date_2018-09-24,8.439555234354373e-08,8.439555234354373e-08
Date_2010-11-08,-8.438212883159571e-08,8.438212883159571e-08
Date_2011-11-20,8.434889529791816e-08,8.434889529791816e-08
Date_2012-02-24,8.428486257604962e-08,8.428486257604962e-08
Date_2017-01-15,8.427584667226708e-08,8.427584667226708e-08
Date_2014-09-21,8.427042161849437e-08,8.427042161849437e-08
Date_2018-04-20,8.423127750165465e-08,8.423127750165465e-08
Date_2020-01-07,-8.416877396723056e-08,8.416877396723056e-08
Date_2011-03-19,8.410615735983554e-08,8.410615735983554e-08
Date_2022-11-13,8.409591928361551e-08,8.409591928361551e-08
Date_2015-06-09,8.404874110032192e-08,8.404874110032192e-08
Date_2018-10-03,8.39341022675756e-08,8.39341022675756e-08
Date_2021-12-30,8.389885200623237e-08,8.389885200623237e-08
Date_2019-03-03,8.378724418834462e-08,8.378724418834462e-08
Date_2012-07-22,8.360864396646784e-08,8.360864396646784e-08
Date_2011-01-09,-8.353211468071824e-08,8.353211468071824e-08
Date_2022-03-13,-8.349139249963662e-08,8.349139249963662e-08
Date_2014-08-06,8.342841796923151e-08,8.342841796923151e-08
Date_2010-10-07,-8.34002729854648e-08,8.34002729854648e-08
Date_2014-08-31,-8.338190975193517e-08,8.338190975193517e-08
Date_2014-04-09,-8.337830621617983e-08,8.337830621617983e-08
Date_2016-10-25,-8.33555922587898e-08,8.33555922587898e-08
Date_2022-01-13,-8.331495112569544e-08,8.331495112569544e-08
Date_2016-10-18,8.330256026877722e-08,8.330256026877722e-08
Date_2018-08-05,8.327934778885335e-08,8.327934778885335e-08
Date_2015-02-25,8.324431439924408e-08,8.324431439924408e-08
Date_2019-05-23,-8.319732913014192e-08,8.319732913014192e-08
Date_2019-05-21,8.309547887129641e-08,8.309547887129641e-08
Date_2016-11-17,8.308821781254136e-08,8.308821781254136e-08
Date_2014-03-16,-8.304256457248746e-08,8.304256457248746e-08
Date_2021-12-04,8.285188191927542e-08,8.285188191927542e-08
Date_2022-07-06,8.274827841949805e-08,8.274827841949805e-08
Date_2013-02-23,8.273769401672452e-08,8.273769401672452e-08
Date_2016-11-07,8.266761269514802e-08,8.266761269514802e-08
Date_2020-01-05,-8.261201415362067e-08,8.261201415362067e-08
Date_2012-12-02,8.254998493803199e-08,8.254998493803199e-08
Date_2016-11-06,8.251986395400121e-08,8.251986395400121e-08
Date_2020-11-20,-8.250611538969189e-08,8.250611538969189e-08
Date_2018-04-27,-8.245841734360387e-08,8.245841734360387e-08
Date_2012-04-19,8.239219120256379e-08,8.239219120256379e-08
Date_2022-01-04,-8.230705203532769e-08,8.230705203532769e-08
Date_2012-07-01,8.22802809366339e-08,8.22802809366339e-08
Date_2018-10-14,8.22722057927385e-08,8.22722057927385e-08
Date_2022-01-03,8.214603360403587e-08,8.214603360403587e-08
Date_2018-05-04,8.201807597519183e-08,8.201807597519183e-08
Date_2016-09-15,-8.195579294857611e-08,8.195579294857611e-08
Date_2016-11-21,8.19511787942397e-08,8.19511787942397e-08
Date_2019-04-17,8.192261343786803e-08,8.192261343786803e-08
Date_2017-02-22,-8.192187252792867e-08,8.192187252792867e-08
Date_2019-03-19,-8.187483934845519e-08,8.187483934845519e-08
Date_2023-02-02,-8.185022894777399e-08,8.185022894777399e-08
Date_2019-10-10,-8.180041030625856e-08,8.180041030625856e-08
Date_2015-01-07,-8.179991177927088e-08,8.179991177927088e-08
Date_2021-05-05,8.1746242178031e-08,8.1746242178031e-08
Date_2011-10-28,-8.167642177022466e-08,8.167642177022466e-08
Date_2013-01-19,-8.147607327809855e-08,8.147607327809855e-08
Date_2014-08-27,-8.146104849756084e-08,8.146104849756084e-08
Date_2014-07-17,-8.141470440367349e-08,8.141470440367349e-08
Date_2021-01-14,8.138488899838473e-08,8.138488899838473e-08
Date_2010-06-22,-8.136133835284583e-08,8.136133835284583e-08
Date_2015-10-19,-8.133764200571498e-08,8.133764200571498e-08
Date_2012-12-29,-8.133525486069977e-08,8.133525486069977e-08
Date_2012-10-21,-8.132006436918308e-08,8.132006436918308e-08
Date_2021-02-25,8.130741031737507e-08,8.130741031737507e-08
Date_2018-03-30,-8.119661609072091e-08,8.119661609072091e-08
Date_2013-11-27,8.118830367546622e-08,8.118830367546622e-08
Date_2017-12-23,8.11840329302254e-08,8.11840329302254e-08
Date_2022-07-12,8.116784168194353e-08,8.116784168194353e-08
Date_2016-04-28,8.113918942632222e-08,8.113918942632222e-08
Date_2016-12-04,-8.111746863233736e-08,8.111746863233736e-08
Date_2017-01-28,8.105813284538273e-08,8.105813284538273e-08
Date_2019-08-13,-8.103771012861823e-08,8.103771012861823e-08
Date_2010-08-06,-8.101071636988298e-08,8.101071636988298e-08
Date_2020-04-28,8.099642824580029e-08,8.099642824580029e-08
Date_2013-05-12,-8.095639581911865e-08,8.095639581911865e-08
Date_2013-01-23,-8.090228834552568e-08,8.090228834552568e-08
Date_2018-05-06,-8.089027666754667e-08,8.089027666754667e-08
Date_2017-03-06,8.072130041783135e-08,8.072130041783135e-08
Date_2020-06-20,-8.061845817131261e-08,8.061845817131261e-08
Date_2014-07-29,8.06104041303878e-08,8.06104041303878e-08
Date_2013-10-11,8.053148880098345e-08,8.053148880098345e-08
Date_2011-08-31,8.042354619666263e-08,8.042354619666263e-08
Date_2012-02-05,8.042192461789282e-08,8.042192461789282e-08
Date_2022-06-23,-8.041989410926246e-08,8.041989410926246e-08
Date_2021-03-12,-8.041584787380619e-08,8.041584787380619e-08
Date_2018-11-24,-8.035696153658337e-08,8.035696153658337e-08
Date_2017-08-05,-8.034290485559943e-08,8.034290485559943e-08
Date_2019-12-07,8.03137126855143e-08,8.03137126855143e-08
Date_2022-11-08,8.027991737560132e-08,8.027991737560132e-08
Date_2016-05-15,8.024871650289706e-08,8.024871650289706e-08
Date_2015-10-05,-8.012598666746787e-08,8.012598666746787e-08
Date_2014-09-22,8.011748565887996e-08,8.011748565887996e-08
Date_2020-05-10,8.011305512315688e-08,8.011305512315688e-08
Date_2012-07-21,8.009166519858165e-08,8.009166519858165e-08
Date_2013-12-06,8.007832605332654e-08,8.007832605332654e-08
Date_2020-03-16,8.007796169049513e-08,8.007796169049513e-08
Date_2022-12-01,8.006114458787153e-08,8.006114458787153e-08
Date_2015-05-30,8.005043475057919e-08,8.005043475057919e-08
Date_2019-09-30,8.003060736020973e-08,8.003060736020973e-08
Date_2020-08-02,-8.002691391507935e-08,8.002691391507935e-08
Date_2021-11-17,-8.00186282704404e-08,8.00186282704404e-08
Date_2017-10-01,7.99944113114508e-08,7.99944113114508e-08
Date_2011-09-17,7.995789262725291e-08,7.995789262725291e-08
Date_2020-11-21,-7.989300669759583e-08,7.989300669759583e-08
Date_2020-11-11,-7.989268862629797e-08,7.989268862629797e-08
Date_2021-01-01,7.977908544649449e-08,7.977908544649449e-08
Date_2015-03-06,-7.976755948659449e-08,7.976755948659449e-08
Date_2011-09-11,-7.973119021110064e-08,7.973119021110064e-08
Date_2010-07-23,-7.967929104849911e-08,7.967929104849911e-08
Date_2015-12-14,-7.962666531935105e-08,7.962666531935105e-08
Date_2021-08-28,-7.960661251907609e-08,7.960661251907609e-08
Date_2018-02-25,-7.950267013831999e-08,7.950267013831999e-08
Date_2020-08-03,-7.949482978196053e-08,7.949482978196053e-08
Date_2017-07-22,7.949026456292282e-08,7.949026456292282e-08
Date_2017-07-16,7.948765815046912e-08,7.948765815046912e-08
Date_2013-03-22,7.94184000018702e-08,7.94184000018702e-08
Date_2013-10-07,7.940959857159523e-08,7.940959857159523e-08
Date_2011-04-12,-7.938805885341638e-08,7.938805885341638e-08
Date_2018-10-26,7.935511134856134e-08,7.935511134856134e-08
Date_2015-09-04,7.929400522836957e-08,7.929400522836957e-08
Date_2018-11-04,-7.927960680844968e-08,7.927960680844968e-08
Date_2011-10-01,-7.90825669912011e-08,7.90825669912011e-08
Date_2015-12-02,-7.906666622234982e-08,7.906666622234982e-08
Date_2017-09-21,7.906115872923085e-08,7.906115872923085e-08
Date_2016-08-23,7.903693751241535e-08,7.903693751241535e-08
Date_2012-12-03,7.903104904174509e-08,7.903104904174509e-08
Date_2018-03-26,7.900241458306158e-08,7.900241458306158e-08
Date_2017-05-24,-7.893013463778217e-08,7.893013463778217e-08
Date_2015-11-05,7.888679634900006e-08,7.888679634900006e-08
Date_2015-08-31,7.883521263262991e-08,7.883521263262991e-08
Date_2021-08-19,-7.88140887729484e-08,7.88140887729484e-08
Date_2012-05-17,-7.873523989874e-08,7.873523989874e-08
Date_2016-03-04,7.870846237996188e-08,7.870846237996188e-08
Date_2015-02-28,7.867278156383441e-08,7.867278156383441e-08
Date_2018-01-19,-7.86706096447492e-08,7.86706096447492e-08
Date_2014-12-23,7.864481215191105e-08,7.864481215191105e-08
Date_2018-06-01,-7.863398741489465e-08,7.863398741489465e-08
Date_2013-06-27,-7.853677627075e-08,7.853677627075e-08
Date_2016-08-07,-7.853488505983568e-08,7.853488505983568e-08
Date_2014-01-29,-7.852375115445797e-08,7.852375115445797e-08
Date_2018-06-15,-7.849449948473329e-08,7.849449948473329e-08
Date_2020-05-03,-7.837958781354092e-08,7.837958781354092e-08
Date_2011-09-05,7.83468343283583e-08,7.83468343283583e-08
Date_2022-04-24,7.833038145219762e-08,7.833038145219762e-08
Date_2018-02-08,-7.831959555881603e-08,7.831959555881603e-08
Date_2010-08-04,7.825589834969113e-08,7.825589834969113e-08
Date_2022-09-03,7.817005287549938e-08,7.817005287549938e-08
Date_2018-06-14,-7.813731516595012e-08,7.813731516595012e-08
Date_2020-01-18,-7.808212661225093e-08,7.808212661225093e-08
Date_2019-10-28,7.804172244472883e-08,7.804172244472883e-08
Date_2014-12-10,-7.803934245983346e-08,7.803934245983346e-08
Date_2018-03-23,-7.801101767548e-08,7.801101767548e-08
Date_2011-07-31,-7.800986610658926e-08,7.800986610658926e-08
Date_2018-12-20,7.800065103259983e-08,7.800065103259983e-08
Date_2020-10-26,7.796581831162093e-08,7.796581831162093e-08
Date_2017-01-12,7.796405128351361e-08,7.796405128351361e-08
Date_2017-03-20,-7.795485165572693e-08,7.795485165572693e-08
Date_2020-10-18,7.787212558537429e-08,7.787212558537429e-08
Date_2013-10-01,-7.785735762153986e-08,7.785735762153986e-08
Date_2018-11-20,7.785021641338701e-08,7.785021641338701e-08
Date_2016-09-13,7.781679174589541e-08,7.781679174589541e-08
Date_2012-04-06,7.778801781220752e-08,7.778801781220752e-08
Date_2012-05-28,-7.771259541232942e-08,7.771259541232942e-08
Date_2016-01-21,7.770428912019512e-08,7.770428912019512e-08
Date_2015-08-26,-7.770301483439224e-08,7.770301483439224e-08
Date_2021-04-11,7.768161523102412e-08,7.768161523102412e-08
Date_2018-08-01,-7.750754535977888e-08,7.750754535977888e-08
Date_2022-07-20,7.748303154769197e-08,7.748303154769197e-08
Date_2011-01-01,7.745245641718904e-08,7.745245641718904e-08
Date_2016-01-12,7.742341994638792e-08,7.742341994638792e-08
Date_2011-04-04,-7.740632905306673e-08,7.740632905306673e-08
Date_2011-08-07,7.726844095980392e-08,7.726844095980392e-08
Date_2022-05-31,7.725962134257462e-08,7.725962134257462e-08
Date_2016-11-10,7.721008139927392e-08,7.721008139927392e-08
Date_2021-07-29,7.715106543811324e-08,7.715106543811324e-08
Date_2020-03-14,7.713754387631441e-08,7.713754387631441e-08
Date_2014-11-30,7.709909712130567e-08,7.709909712130567e-08
Date_2021-05-11,-7.696613791679703e-08,7.696613791679703e-08
Date_2022-12-13,-7.69547466107166e-08,7.69547466107166e-08
Date_2011-07-07,-7.69543891675553e-08,7.69543891675553e-08
Date_2017-01-11,-7.694062961505959e-08,7.694062961505959e-08
Date_2021-10-24,7.67134132457067e-08,7.67134132457067e-08
Date_2013-02-08,7.670419767684813e-08,7.670419767684813e-08
Date_2015-02-15,-7.660614613919032e-08,7.660614613919032e-08
Date_2020-10-01,7.658392706125944e-08,7.658392706125944e-08
Date_2019-02-05,7.657792190026018e-08,7.657792190026018e-08
Date_2014-04-14,-7.657125321129598e-08,7.657125321129598e-08
Date_2016-03-11,7.654384133114047e-08,7.654384133114047e-08
Date_2013-02-24,7.650287533599614e-08,7.650287533599614e-08
Date_2014-02-24,-7.638535480696867e-08,7.638535480696867e-08
Date_2020-10-28,-7.637873630491253e-08,7.637873630491253e-08
Date_2017-01-18,-7.636541515677221e-08,7.636541515677221e-08
Date_2017-01-09,7.636147827816287e-08,7.636147827816287e-08
Date_2018-04-23,7.623904367644982e-08,7.623904367644982e-08
Date_2010-07-10,-7.613715557446155e-08,7.613715557446155e-08
Date_2018-09-07,-7.605053117811422e-08,7.605053117811422e-08
Date_2021-08-18,7.603454427584155e-08,7.603454427584155e-08
Date_2011-11-17,-7.5948627407376e-08,7.5948627407376e-08
Date_2015-03-29,7.589087970535881e-08,7.589087970535881e-08
Date_2011-02-22,-7.587137376076127e-08,7.587137376076127e-08
Date_2013-11-26,-7.583256932599699e-08,7.583256932599699e-08
Date_2020-09-13,7.57947889954132e-08,7.57947889954132e-08
Date_2017-09-09,7.578115921373899e-08,7.578115921373899e-08
Date_2013-08-14,-7.573768153928301e-08,7.573768153928301e-08
Date_2021-03-20,7.56136674628142e-08,7.56136674628142e-08
Date_2017-04-29,7.551356535051452e-08,7.551356535051452e-08
Date_2018-10-05,-7.542139027491629e-08,7.542139027491629e-08
Date_2019-10-08,7.539190774041966e-08,7.539190774041966e-08
Date_2011-01-07,7.538799958988784e-08,7.538799958988784e-08
Date_2011-05-10,-7.535309584290595e-08,7.535309584290595e-08
Date_2010-08-02,-7.533869450907306e-08,7.533869450907306e-08
Date_2015-12-29,7.515368272427271e-08,7.515368272427271e-08
Date_2020-05-22,7.513882684614905e-08,7.513882684614905e-08
Date_2014-05-11,-7.506446225294962e-08,7.506446225294962e-08
Date_2012-04-26,-7.504247967695716e-08,7.504247967695716e-08
Date_2016-03-13,7.486744786955903e-08,7.486744786955903e-08
Date_2011-11-14,-7.48559842661681e-08,7.48559842661681e-08
Date_2018-04-15,-7.481406642595336e-08,7.481406642595336e-08
Date_2010-07-21,7.478152395543334e-08,7.478152395543334e-08
Date_2017-01-26,-7.472622842999791e-08,7.472622842999791e-08
Date_2011-03-26,-7.471852828124237e-08,7.471852828124237e-08
Date_2012-09-29,7.471676202461423e-08,7.471676202461423e-08
Date_2019-06-10,-7.468423901499924e-08,7.468423901499924e-08
Date_2014-06-28,7.468417782430162e-08,7.468417782430162e-08
Date_2013-06-03,-7.46576614059889e-08,7.46576614059889e-08
Date_2017-05-25,7.464849102729379e-08,7.464849102729379e-08
Date_2011-08-25,7.461764169349902e-08,7.461764169349902e-08
Date_2019-04-24,-7.46073879302803e-08,7.46073879302803e-08
Date_2010-10-16,-7.451322068403446e-08,7.451322068403446e-08
Date_2012-06-25,-7.439480908244755e-08,7.439480908244755e-08
Date_2014-08-29,-7.438651652270804e-08,7.438651652270804e-08
Date_2021-02-10,7.43685376709529e-08,7.43685376709529e-08
Date_2010-08-14,-7.430908537378956e-08,7.430908537378956e-08
Date_2019-07-23,7.429201606151674e-08,7.429201606151674e-08
Date_2021-08-05,7.428018878206778e-08,7.428018878206778e-08
Date_2021-10-01,-7.409429675366656e-08,7.409429675366656e-08
Date_2017-09-01,7.401487923654872e-08,7.401487923654872e-08
Date_2012-08-03,-7.395252479026066e-08,7.395252479026066e-08
Date_2017-04-20,-7.39418326907609e-08,7.39418326907609e-08
Date_2017-06-03,-7.393272102042415e-08,7.393272102042415e-08
Date_2013-08-13,7.390600894792412e-08,7.390600894792412e-08
Date_2016-11-08,7.39007168865316e-08,7.39007168865316e-08
Date_2010-11-28,7.388369871577589e-08,7.388369871577589e-08
Date_2018-04-08,7.37402507645544e-08,7.37402507645544e-08
Date_2012-09-12,7.366463204751641e-08,7.366463204751641e-08
Date_2019-07-12,-7.365600113337334e-08,7.365600113337334e-08
Date_2022-07-31,-7.365237155998089e-08,7.365237155998089e-08
Date_2022-06-17,7.35508530336034e-08,7.35508530336034e-08
Date_2012-08-22,-7.354516262861008e-08,7.354516262861008e-08
Date_2017-12-19,7.354161310148968e-08,7.354161310148968e-08
Date_2011-12-13,-7.353403465942648e-08,7.353403465942648e-08
Date_2020-03-20,7.348930825862398e-08,7.348930825862398e-08
Date_2018-10-15,-7.348809398726676e-08,7.348809398726676e-08
Date_2015-01-31,7.34831812543216e-08,7.34831812543216e-08
Date_2011-05-01,7.33701668602386e-08,7.33701668602386e-08
Date_2019-02-14,-7.32940188568326e-08,7.32940188568326e-08
Date_2019-08-11,7.329348179056844e-08,7.329348179056844e-08
Date_2018-01-03,-7.326793057290676e-08,7.326793057290676e-08
Date_2015-06-26,7.32622256635773e-08,7.32622256635773e-08
Date_2016-05-01,-7.320667086072618e-08,7.320667086072618e-08
Date_2012-05-31,-7.313312296900396e-08,7.313312296900396e-08
Date_2013-03-12,-7.313065320502542e-08,7.313065320502542e-08
Date_2015-08-21,7.312234750561416e-08,7.312234750561416e-08
Date_2011-06-08,7.310897917556018e-08,7.310897917556018e-08
Date_2011-05-17,7.307751659302793e-08,7.307751659302793e-08
Date_2018-12-23,-7.305270031971332e-08,7.305270031971332e-08
Date_2013-07-28,-7.30078596358856e-08,7.30078596358856e-08
Date_2020-07-05,7.2942161504485e-08,7.2942161504485e-08
Date_2015-11-28,7.293550468775367e-08,7.293550468775367e-08
Date_2018-05-19,-7.290946956702527e-08,7.290946956702527e-08
Date_2017-11-12,-7.286935467995767e-08,7.286935467995767e-08
Date_2011-04-09,-7.286374199788104e-08,7.286374199788104e-08
Date_2013-10-30,7.279439111924898e-08,7.279439111924898e-08
Date_2019-02-03,-7.278884349244961e-08,7.278884349244961e-08
Date_2014-12-24,-7.275810768272937e-08,7.275810768272937e-08
Date_2010-06-15,-7.263817645147546e-08,7.263817645147546e-08
Date_2015-01-25,-7.23790177647666e-08,7.23790177647666e-08
Date_2019-07-30,7.23598578243745e-08,7.23598578243745e-08
Date_2014-01-13,-7.233439731622387e-08,7.233439731622387e-08
Date_2020-04-19,-7.228006500597032e-08,7.228006500597032e-08
Date_2017-12-10,-7.227408643970518e-08,7.227408643970518e-08
Date_2020-07-21,-7.225569520689187e-08,7.225569520689187e-08
Date_2019-08-23,-7.222509266838288e-08,7.222509266838288e-08
Date_2019-07-06,7.215514736730862e-08,7.215514736730862e-08
Date_2019-01-17,7.214561897253857e-08,7.214561897253857e-08
Date_2022-12-02,-7.211148022096614e-08,7.211148022096614e-08
Date_2018-09-18,7.204773892867627e-08,7.204773892867627e-08
Date_2019-03-13,-7.20204431597119e-08,7.20204431597119e-08
Date_2017-06-17,-7.201872004576068e-08,7.201872004576068e-08
Date_2016-02-03,7.190134377093206e-08,7.190134377093206e-08
Date_2013-07-24,-7.190099953086421e-08,7.190099953086421e-08
Date_2012-11-04,-7.187516950881733e-08,7.187516950881733e-08
Date_2014-05-07,-7.178028044876071e-08,7.178028044876071e-08
Date_2021-05-13,-7.174404570419363e-08,7.174404570419363e-08
Date_2016-07-01,-7.173691945065231e-08,7.173691945065231e-08
Date_2021-03-01,7.17278828451506e-08,7.17278828451506e-08
Date_2013-03-23,7.170563273209195e-08,7.170563273209195e-08
Date_2018-12-30,7.162846567766445e-08,7.162846567766445e-08
Date_2013-10-15,7.162739378172336e-08,7.162739378172336e-08
Date_2016-09-01,7.161972650600637e-08,7.161972650600637e-08
Date_2019-01-07,7.152611556860089e-08,7.152611556860089e-08
Date_2011-10-12,-7.149057316539337e-08,7.149057316539337e-08
Date_2014-03-02,7.145228367369406e-08,7.145228367369406e-08
Date_2019-12-16,7.139505967590409e-08,7.139505967590409e-08
Date_2013-01-31,-7.137161930730161e-08,7.137161930730161e-08
Date_2011-01-06,-7.122439066953007e-08,7.122439066953007e-08
Date_2011-12-02,7.121181682952431e-08,7.121181682952431e-08
Date_2014-06-10,-7.12060545887578e-08,7.12060545887578e-08
Date_2021-07-02,-7.118593178110356e-08,7.118593178110356e-08
Date_2021-05-25,-7.112014909830699e-08,7.112014909830699e-08
Date_2010-07-01,-7.110446982415633e-08,7.110446982415633e-08
Date_2012-11-24,7.109674726529457e-08,7.109674726529457e-08
Date_2021-06-12,-7.105151821531245e-08,7.105151821531245e-08
Date_2016-07-15,7.10366651961639e-08,7.10366651961639e-08
Date_2013-11-21,-7.099678252051585e-08,7.099678252051585e-08
Date_2018-11-26,-7.096250070748746e-08,7.096250070748746e-08
Date_2019-05-09,-7.093238879637799e-08,7.093238879637799e-08
Date_2022-04-05,-7.076694510246923e-08,7.076694510246923e-08
Date_2018-01-13,7.072972008326498e-08,7.072972008326498e-08
Date_2011-03-24,7.065688170787148e-08,7.065688170787148e-08
Date_2012-12-30,-7.064159524317874e-08,7.064159524317874e-08
Date_2011-08-08,7.063947039560491e-08,7.063947039560491e-08
Date_2020-05-16,-7.063522016860997e-08,7.063522016860997e-08
Date_2022-06-12,-7.05662515546935e-08,7.05662515546935e-08
Date_2012-11-09,-7.055932556673281e-08,7.055932556673281e-08
Date_2010-08-17,7.053514043469886e-08,7.053514043469886e-08
Date_2014-03-27,7.053425135362015e-08,7.053425135362015e-08
Date_2012-04-08,7.04747849620351e-08,7.04747849620351e-08
Date_2011-12-25,-7.040122580243362e-08,7.040122580243362e-08
Date_2015-10-14,7.035560264535043e-08,7.035560264535043e-08
Date_2015-12-12,-7.02173453690722e-08,7.02173453690722e-08
Date_2016-07-23,7.01841586723089e-08,7.01841586723089e-08
Date_2017-08-04,-7.017549178557913e-08,7.017549178557913e-08
Date_2020-05-12,-7.017276883323966e-08,7.017276883323966e-08
Date_2010-12-12,7.010917426946681e-08,7.010917426946681e-08
Date_2017-03-04,7.01039061045308e-08,7.01039061045308e-08
Date_2022-07-08,7.009765333237496e-08,7.009765333237496e-08
Date_2011-03-13,7.00706797301769e-08,7.00706797301769e-08
Date_2015-01-12,-7.001822427575977e-08,7.001822427575977e-08
Date_2019-07-11,6.999182796560189e-08,6.999182796560189e-08
Date_2020-06-11,6.989730782583508e-08,6.989730782583508e-08
Date_2013-11-03,-6.983690912508838e-08,6.983690912508838e-08
Date_2018-12-02,6.978360102079363e-08,6.978360102079363e-08
Date_2016-04-22,-6.978031577811277e-08,6.978031577811277e-08
Date_2019-12-15,6.973483937105401e-08,6.973483937105401e-08
